                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.10625,                0.72374,                      1,                 1.1834,             0.00025454,             0.00025454,             0.00025454
                     67,                0.09024,                0.72603,                      1,                 1.1795,             0.00024747,             0.00024747,             0.00024747
                     68,                0.09498,                0.73744,                      1,                 1.1655,              0.0002404,              0.0002404,              0.0002404
                     69,                0.08617,                0.71461,                      1,                  1.188,             0.00023334,             0.00023334,             0.00023334
                     70,                0.08129,                0.73059,                      1,                 1.1672,             0.00022627,             0.00022627,             0.00022627
                     71,                0.08004,                0.72146,                      1,                  1.181,              0.0002192,              0.0002192,              0.0002192
                     72,                0.07957,                0.71233,                      1,                  1.188,             0.00021213,             0.00021213,             0.00021213
                     73,                0.09187,                0.73516,                      1,                 1.1658,             0.00020506,             0.00020506,             0.00020506
                     74,                0.08374,                0.71461,                      1,                 1.1787,             0.00019799,             0.00019799,             0.00019799
                     75,                0.07491,                0.73744,                      1,                 1.1692,             0.00019092,             0.00019092,             0.00019092
                     76,                0.07431,                0.74201,                      1,                 1.1665,             0.00018385,             0.00018385,             0.00018385
                     77,                0.08125,                0.72603,                      1,                 1.1745,             0.00017679,             0.00017679,             0.00017679
                     78,                0.07956,                0.73288,                      1,                 1.1639,             0.00016972,             0.00016972,             0.00016972
                     79,                 0.0747,                0.71461,                      1,                 1.1809,             0.00016265,             0.00016265,             0.00016265
                     80,                0.06934,                0.70548,                      1,                 1.1916,             0.00015558,             0.00015558,             0.00015558
                     81,                0.05133,                0.71918,                      1,                 1.1686,             0.00014851,             0.00014851,             0.00014851
                     82,                0.06325,                0.74429,                      1,                 1.1585,             0.00014144,             0.00014144,             0.00014144
                     83,                0.08453,                0.74429,                      1,                 1.1549,             0.00013437,             0.00013437,             0.00013437
                     84,                0.06994,                0.71689,                      1,                 1.1779,             0.00012731,             0.00012731,             0.00012731
                     85,                0.06329,                0.75342,                      1,                 1.1561,             0.00012024,             0.00012024,             0.00012024
                     86,                0.06378,                0.73744,                      1,                 1.1711,             0.00011317,             0.00011317,             0.00011317
                     87,                0.07352,                0.74201,                      1,                 1.1641,              0.0001061,              0.0001061,              0.0001061
                     88,                0.07861,                0.72603,                      1,                  1.175,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.06077,                0.73059,                      1,                 1.1686,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.06539,                0.73288,                      1,                 1.1747,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                 0.0797,                0.73744,                      1,                 1.1688,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                 0.0643,                0.73744,                      1,                 1.1665,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.07902,                0.73059,                      1,                 1.1657,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.06639,                0.72831,                      1,                 1.1768,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.06307,                0.72831,                      1,                 1.1767,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.07225,                0.72603,                      1,                 1.1758,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.06254,                0.73516,                      1,                 1.1639,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.06395,                0.73059,                      1,                 1.1711,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.05064,                0.72603,                      1,                 1.1707,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.05343,                0.72146,                      1,                 1.1771,             1.4209e-05,             1.4209e-05,             1.4209e-05
